"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","7965.56178588894","7255.14754624185","6501.35432050784","6732.669111675","6882.56025538707","6364.35383426953","6230.89162129741","6641.49956233253","6858.51895321992","6656.14161263971","6743.47036180436","7297.27793471438","7587.12525282649","8353.99078719159","8130.336273138","8238.28794547425","8355.01429149112","8377.9495437286","8510.75460322633","8558.19373771682","8631.16921025984","8428.50282060656","8265.20174223896","8294.13592771617","8326.37218561561","8296.89461111786","8195.1611927155","8210.90258987431","8107.5610891758","7819.37192213833","7791.52362071467","7714.23720671501","7867.6911218415","8198.72413460083","8420.63506913908","8404.86321036322","8374.63555317715","8334.82143454742","8075.77102391364","7863.28306844133","",
"Bahamas, The","BHS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","18156.8448614865","19118.477157374","20075.6427129432","21099.7203708305","22204.7522294139","23408.0536893569","24428.7723484762","25679.1680791384","26783.9277461103","28190.9249732906","25795.9411019082","25535.2849929779","24091.241630257","25393.1261277786","20727.2799407865","17305.9941115341","17824.6659037737","19042.6950567195","21270.5060730111","26243.5370854237","27336.7207707087","24268.8549498254","25323.278697259","25663.0614525148","28683.1630221106","29471.6444132673","29444.069694517","29792.5882272695","29965.8226595475","31437.7105262109","30393.7721470775","28588.8689235579","26976.2375530487","26556.1576572755","26918.0172995077","27661.6783970534","28444.8038228313","28689.9964504207","29708.1525273833","31455.6114016772","32322.3206766627","32670.2311164571","33003.9654163687","32017.4752258654","31716.1815524908","32190.8889702917","32385.5929771352","32235.1943898586","30909.7680698089","29117.2297799796","29120.5323686687","28921.4827422221","29485.6209294138","28415.6026668991","28446.7384177879","28240.060287649","28365.4952888226","28955.8126681353","29531.9468934758","29596.7464478461","",
"Bosnia and Herzegovina","BIH","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1091.30114660528","1355.29365829011","2604.89554162905","3527.27673089514","4079.42405573822","4460.27887982187","4695.78207569685","4896.73629531132","5150.94851526962","5353.01943462922","5676.50248506429","6171.8576666965","6505.84157321991","6891.85486498568","7283.38098128771","7099.22220336633","7219.55232693703","7377.01311737352","7430.45160961028","7738.94238844014","7964.25264725005","8336.55424436214","8708.57318693417","9077.89076441873","9495.60144034364","9817.63253559527","",
"Belarus","BLR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3967.85646115728","3918.31954090642","3534.532821065","3258.57200898525","2880.6951012027","2589.45833823818","2670.87143700787","2987.99697538796","3254.42906942099","3379.26320603969","3592.14450264088","3781.23111443575","3997.36940107128","4308.96106453273","4835.19803299971","5325.95937567746","5894.5367917539","6430.90780803964","7111.38177694444","7141.50923053215","7711.54943800607","8141.26672670991","8286.21072756655","8368.03244285837","8504.8473741811","8166.1291668704","7949.83210079551","8153.94265731085","8423.82120776308","8541.75874228994","",
"Belize","BLZ","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","1879.82924921794","1916.84951902263","1955.2811550152","1995.23581326624","2035.94776314896","2074.93003137987","2109.74603784283","2147.70081283498","2238.99070316472","2290.17784523021","2342.89911770965","2384.70427027157","2579.65788438852","2672.65224991106","2988.53450311103","3050.53504427435","3006.91839256513","3159.20694362321","3360.96139315655","3553.76455185591","3951.57277005978","3903.99802891875","3798.52710353719","3614.01696470821","3581.28873350732","3517.21887820868","3576.11681674713","3852.07274748677","4117.88742537443","4540.94893003394","4950.4185710324","5414.69591059395","5967.88456392417","6236.56576696926","6119.09956366521","6002.03901180404","5896.17343118167","5889.06941059662","5878.54623790414","6160.97879391434","6728.66587145948","6830.07727502617","6953.70800905564","7403.91574649717","7559.74597112519","7509.1613812544","7667.61977008811","7508.40230749937","7572.76996835309","7400.48624684178","7438.03959511759","7402.56240215361","7407.10059171598","7336.10054524681","7438.18024371332","7489.75571643491","7344.19109663409","7334.82538474435","7344.59147259907","7227.30451668106","",
"Bermuda","BMU","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","35770.7469569104","36539.5585802963","37271.8003566968","36801.8943755954","39887.1349059814","40784.9059400228","45819.9879642533","50904.4824706806","50995.4736012147","51771.0824971472","54038.3150438378","56305.3757653989","57749.0872542395","59041.6302262173","60005.6781341771","62736.6994819066","68087.5151368829","71832.8842591736","72604.5341759117","73888.3559556188","78488.7498436016","79802.8363910883","75041.0333527281","75890.2338093841","75589.281229904","73456.464711795","77692.6735059172","79955.436192214","82488.4964664209","82159.0102945557","81503.0021960336","79028.6677843867","79555.6711361302","81510.9633798486","81432.9601312245","84409.1413954094","86052.543476045","89463.4287707232","92272.2480398861","94861.1502698904","102780.4666707","109020.648682885","106712.974315014","109632.930276136","111447.432665802","112582.057719783","118143.917672768","121409.197386266","118441.009299404","111158.510573466","109228.395061728","106052.196270367","100063.150097225","99471.6388978631","95588.6579262489","96183.791406717","96562.6297363448","101116.622046874","100604.959324155","101070.793829594","",
"Bolivia","BOL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","1667.30448537301","1669.26986340408","1728.0916286048","1809.30703692559","1843.55659565383","1895.29425427625","1989.98544878167","2072.38515519105","2202.65225060205","2253.10922634031","2320.86561943288","2386.36424907921","2521.11453934454","2608.13649311834","2626.43044713262","2756.95347679361","2820.98201722915","2896.20004172215","2891.12447855962","2832.717424217","2735.01895631401","2686.15642074488","2528.32159082407","2377.67954813992","2325.35959378427","2240.00333362462","2137.49518554856","2144.7020727379","2160.98978285528","2195.90692913304","2249.59816992146","2318.55693819812","2307.5407908481","2356.06883773084","2415.19069833595","2476.58867922152","2532.46276287984","2604.95463409066","2682.13709160984","2641.29280303682","2655.6858991355","2649.42626862784","2664.7868752555","2686.94055563422","2748.69939361822","2819.47327135821","2903.41863494293","2984.17210174172","3114.53677608308","3165.9025121548","3242.81116153638","3356.66533563528","3472.59444488237","3650.65426076401","3790.97663845976","3915.42370868155","4022.39469975235","4130.84096577097","4244.52809299842","4278.33793925396","",
"Brazil","BRA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","6011.80641580756","6439.36072523654","6580.17022591543","6447.42859111034","6483.51909521026","6496.4543121976","6582.6724352715","6722.71430139033","7296.0739345276","7802.71878894855","8275.83545371263","8986.70323639763","9830.20950095616","10941.3690574871","11651.9125625109","11971.8807474639","12835.7344942929","13112.3558309447","13219.1376714949","13783.4556948613","14688.4189732815","13716.2261618765","13476.4898254759","12720.2757777739","13093.6770653173","13832.0680311837","14630.416369819","14857.6965709619","14559.7142252587","14759.6505691159","14045.0073284742","14008.7062935497","13707.2596629132","14109.8510850029","14621.6979148746","15023.7032438288","15113.3130762912","15383.9336922214","15201.7315243815","15048.3248278226","15486.5059293323","15488.5764346648","15753.3496820052","15733.9830665158","16441.5524124936","16774.7088063795","17250.2305511483","18108.3785767017","18842.5664104096","18638.7004133366","19854.7587141795","20455.6444965209","20663.1690095288","21098.9370261888","21024.5676580183","20109.6869627024","19291.3419207237","19389.4067669859","19491.4252603268","19565.3648586476","",
"Barbados","BRB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","22320.7932738324","21762.3757275505","22580.1763309207","23275.3031373011","24286.9114452601","26084.197886159","27112.3719264325","26502.3805951883","25125.7468061492","25181.7197042247","26015.9610484663","26223.0599033025","27471.0529079333","28083.20317496","28960.1007039235","29889.558657778","28792.5008431186","27567.2476661385","25900.9608727738","26008.6253287554","26429.5394744293","26854.1670583369","27807.6308093271","29002.1514838527","29955.1489589212","29931.4848161035","31140.0843415649","30293.5779816514","30428.8196031819","30988.3388194467","31316.7492480493","32433.0584135233","34204.6367807061","34804.4492285612","34892.4435426832","32984.2335932609","32112.7419532061","31800.0473519985","31575.6080366584","31066.2126797422","30969.8937944352","31672.7649969859","32404.2323895366","32508.4808530114","32273.819865267","32199.6568243184","",
"Brunei Darussalam","BRN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","62219.5683295501","59908.7386930321","69177.9588657458","73860.781047884","76040.4012030573","90018.0998272958","81010.1635556197","62954.149314322","63525.4890447189","62034.476791339","60662.0538558497","58087.3329798752","54927.6162224195","54463.1979727483","53519.6760282156","51459.5510979965","50559.8150130836","50683.3060365877","51605.9242329093","50331.7564904981","50520.7673758179","51422.6162348459","51598.8323233384","49644.1787035434","48255.3424159627","48651.0146837927","48992.7318295739","49320.2562096731","50233.1046594114","50739.1986255035","50123.9641323974","49535.270901691","50994.5454987401","50432.9220060539","48873.8612253934","47450.5683682985","48090.0356622736","49252.1997114466","49041.452270614","47354.1186041279","45563.7820332919","44822.9721359244","43202.8049070986","43294.8620995917","42864.1697866011","44078.4174388682","",
"Bhutan","BTN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","11242.9746773005","12462.4617509738","12562.7307051224","13637.4930039182","13880.9354790756","14067.0592821708","15243.5481900422","18997.9625956697","19349.3608285468","20284.3781012155","22125.1470047535","21877.132494875","22888.6416870589","23427.4463195368","24619.7690530309","26227.1329168381","27336.7129916061","28270.8857386775","29270.7379995996","30869.0925986492","32275.3688955215","34238.9818434829","37239.0188273719","39396.3485861821","41045.9997025743","43363.4719047259","45786.8179674784","53585.1193305218","55593.601821287","58758.1979381504","65088.4347697968","69493.9646443521","72188.2850639197","72820.3172739279","76082.1771878685","80152.5739274272","85627.4845291696","88545.9594564144","90183.5645564519","94027.5484476315","",
"Botswana","BWA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","2174.03017434286","2267.11099408019","2367.03603435043","2451.4604665055","2560.69034246988","2650.91947413722","2760.09661447224","2862.91457510118","3097.27396234507","3481.96679208245","3971.44516221534","4852.87206407704","5941.48678143345","6968.82196569997","7318.8372379364","7651.76251593366","8151.73296934072","8782.46571954295","9656.00209978293","10420.8808484813","11243.7951903843","11834.1431930938","12826.2519018564","14027.996847801","14705.4896120856","15191.5079909722","15821.2854304856","17027.3415325576","19573.7498822982","21340.1225728896","22036.9124371676","22974.1574821197","22998.718642606","22843.7262974319","23095.5630137951","24128.4558534251","24931.7153243439","26381.6801207459","25903.4638386013","27800.0377577838","27782.0576949056","27330.3882895697","28479.645579541","29285.8737729172","29547.96992626","30318.2172757379","32194.9125991063","34124.4654775178","35495.2345405371","32143.7679997625","34306.2540228121","35870.4142895561","37025.2074108468","40765.7089136868","41927.0735042473","40591.2906772996","41569.3159174497","41899.979683719","42825.0378638994","43146.4390933356","",
