"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.0483785670467","80.9710420099347","79.5830324778096","79.4784820149437","80.8603642896287","67.6377971540012","69.680680826302","69.9917122302158","68.691597567717","67.5616194534971","67.3739693192713","66.9290092165899","65.421085238197","65.8893365893366","69.5702660406886","","","","","","","","","","","",
"Afghanistan","AFG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1511545995992","37.4448038407261","41.1108953364243","39.0077871841904","39.8310243252872","40.294685221301","45.4098308716488","45.2444349261482","48.8793769096891","49.6968203962567","50.5793979236606","52.6827434733525","52.9908650351499","53.2352934986503","59.0232164158023","58.3290500124099","59.4774229113263","55.4728067368376","",
"Angola","AGO","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0616104906329","25.1524548978866","30.2402406688035","31.9315282885985","20.9923708578417","22.2123554945612","26.9598114360045","37.9075789655613","41.1829863790656","40.347464274602","35.5267258263529","37.1568468383723","34.6118783461354","34.338201603897","48.9906736748373","41.8870236648356","39.0758313423906","39.6049460938059","42.7849161208976","46.8139275295854","48.6598890939393","46.980994325159","46.7626245811004","43.2069094144864","39.2804653632873","",
"Albania","ALB","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7729052590847","42.3156573150217","43.9942521784097","46.8340280983289","44.3028027650255","44.9427837109107","43.7763109553837","41.911498421985","42.5803439017032","43.5545627609599","43.5234081910995","44.6397015037662","44.6992269329925","45.3173449300047","44.0254492415046","44.2563672971517","44.9546198966638","44.6070047712584","45.782514890673","46.2843479230646","46.697147053603","47.9695072018041","47.7400510870286","48.6009515844517","",
"Andorra","AND","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","31.4892372106239","","41.26231189052","45.4639879427565","46.3943036484416","","","","","","42.0308375314214","46.0114646752675","42.4451362573725","44.4740193944754","45.9814301611753","45.0557086077655","44.0524181755779","44.3760687550815","48.090447492593","45.3313362992684","41.3773072302069","42.9690935612129","43.4967092442337","42.5048712477695","42.3855389835603","40.0645480419922","39.8170780172077","41.1494173523765","38.8596330044006","45.5720701459411","44.0088544958434","39.9565119066475","41.0745677571878","42.7442059355161","44.780891221435","52.6237493883301","54.2717749214721","51.5629170018205","48.2881657086804","49.7464231967147","",
"United Arab Emirates","ARE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","25.4643047004956","27.6401890692683","31.5331369357862","31.3121326365424","28.09722443704","26.8457912124624","31.0883861669878","36.2075815649247","37.8652207393831","36.3468141806264","37.8220266208673","46.6611025062797","44.1756695041514","45.7880271536706","43.7300450012482","40.0392209536602","51.9239305038891","43.3233556993049","47.0391772771792","51.909199895273","52.6677577741408","51.8405657582938","52.567566633727","57.7955770490152","55.6460922334793","49.220338275323","48.0854585516536","50.2509298289115","48.951303152003","46.6562900061707","42.9608649080015","41.0026442799823","44.1831002420827","41.1547160923483","46.9181571110237","46.7057368047177","41.2924815172295","41.9119712593881","44.3500784549129","46.5958941075473","55.3650854475686","57.775316072932","56.6548394984786","52.2483331427555","53.1087906865831","",
"Argentina","ARG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","38.6813582857261","40.1170927423721","42.6362011624409","43.2426585257493","43.4271542070252","48.0836525009197","43.1787867210794","43.4334758186795","44.6950283481664","46.176359627142","43.2747682872493","40.9540839988848","44.1066558214226","46.3979525030575","48.1755980553814","52.426832507347","53.1862535984306","49.3009953094612","49.7853685268061","51.9458352298589","53.0895381715363","54.8191624683246","54.0769662656489","52.5355207001495","48.0360922412516","55.8544476443929","60.5611985052019","63.3252164422299","61.056897614085","61.5907929226228","62.263779670525","61.3509955456509","60.8492831021072","61.5396856144834","63.4877305192171","63.469313441501","65.0812573281962","54.7764456459146","51.0316942508769","47.8369882937827","48.4861459282405","48.7491333682456","49.5083307772744","50.2551922042782","53.3060010032753","51.4951802052167","51.8119007511102","53.6581179163924","53.9190936666216","52.9405434663365","55.8149012843362","56.1222358547004","57.3499373817547","55.926021698329","54.3334016942393","",
"Armenia","ARM","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6989324054448","45.749756861728","47.4130437470384","48.2126693907876","49.9105094267778","50.7652583569469","52.6163051198371","54.2338376614097","",
"American Samoa","ASM","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
